requirement_id,scope,requirement,status,evidence_artifacts,evidence_class,verification,next_action
CORE-17,mandatory_core,Quantified management recommendations,COMPLETE,CFO memo; management deck; MBR pack; Management Recommendation Register; executive reconciliation,SIMULATED/DERIVED,Each action has mechanism impact risk and monitoring KPI,None
CORE-18,mandatory_core,Finance Business Partnering battle cards,COMPLETE,Battle cards v1/v2; decision matrix; interview talk track,SIMULATED/DERIVED,Marketing Sales and Supply Chain pushback scenarios documented,None
CORE-19,mandatory_core,Recruiter-first website and quick tour,COMPLETE,Production site version 3; site source mirror; forecast and Strategic Finance release; runtime QA,SIMULATED/PUBLIC,Private production deployment verified; forecast integrity boundary visible,None
CORE-20,mandatory_core,Hidden business truth validation,COMPLETE,Hidden truth register; synthetic ledger QA,SIMULATED,Controlled business events are encoded and QA-tested,None
COND-01,conditional,D2C CAC and LTV,COMPLETE_WITH_CAVEAT,D2C Unit Economics native Sheet; D2C methodology,SIMULATED/DERIVED,Six native controls PASS; inputs are synthetic,Replace with cohort evidence for production use
COND-02,conditional,SSSG and sales per square meter,CONDITIONAL_NOT_APPLICABLE,Business case; assumptions and limitations,ASSUMPTION,No owned-store network is activated; metrics are not forced,Activate only if approved store data exists
COND-03,conditional,Shrinkage and wastage,COMPLETE_WITH_CAVEAT,Inventory schedule; QA matrix,SIMULATED/DERIVED,Loss and write-off treatment is documented,Replace with physical-count evidence for production use
STR-01,strategic_stretch,Buy vs Build / M&A accretion dilution,COMPLETE_WITH_CAVEAT,M&A memo; forecast CSV; sensitivity CSV; native M&A Sheet,SYNTHETIC/DERIVED,Validator PASS; Year-2 accretion 17.16%; NPV VND 28.39bn,Add purchase accounting and debt amortization before real use
GATE-A,external_gate,Genuine pre-close internal forecast snapshot and observed Bias/WAPE,PENDING_EXTERNAL,Final external-gates handoff; live submission template; governance schema; live validator; capture Sheet,PENDING,Fixture contract and leakage controls pass; no approved internal source supplied,Obtain approved snapshot with cutoff approver close evidence and non-synthetic source URI
GATE-B,external_gate,Native Power BI PBIX and QA-01 to QA-18,PENDING_EXTERNAL,PBIP manifest; Desktop checklist; DAX; QA matrix; machine-readable QA evidence log; evidence validator,PENDING,Portable contract and evidence-log contract pass; native Desktop binary not available,Build in Power BI Desktop execute all 18 tests and archive PBIX plus visual evidence
COMM-01,recruiting,One-page Finance Analyst CV,COMPLETE,Finance Analyst CV one-page draft; CV evidence map,SIMULATED/PUBLIC,Bullets restricted to validated evidence and caveats,Replace personal placeholders
COMM-02,recruiting,Interview conversion talk track,COMPLETE,Finance Analyst interview talk track,SIMULATED/PUBLIC,90-second pitch; 15-minute walkthrough; STAR stories; pushback answers,None

